mass_solar,radius_km,Lambda,S_limit
0.8397783253375903,15.02734484485728,6983.988330828013,12.0
1.0093089196333835,14.63711460529107,2189.8713822255113,12.0
1.150494759372363,14.298164710796192,913.39168708516,12.0
1.2704522189671512,14.00537473358823,455.1569149157041,12.0
1.3719668357415908,13.732152505036584,256.11741424392795,12.0
1.458054625835859,13.473671041018198,157.41270984812905,12.0
1.534126946400285,13.253391106761974,103.44830723897644,12.0
1.6032526462997874,13.074560878513555,71.65123169049726,12.0
1.6659302933748004,12.923451093860455,51.77194359800704,12.0
1.722469969796505,12.79003727624858,38.73163860139861,12.0
1.7733877344350186,12.669123108158391,29.83058038153869,12.0
1.8192703221382764,12.557964197674206,23.548371403506223,12.0
1.8606776635178637,12.454892312299757,18.986379054227953,12.0
1.8981107481465336,12.35874418494429,15.591203902937607,12.0
1.932008206578244,12.26863190381311,13.00979739131252,12.0
1.962752076049212,12.183842445026054,11.009903661917532,12.0
1.9906754398575937,12.103786848201944,9.434558273588014,12.0
2.016069624718407,12.02797022136544,8.175121903085982,12.0
2.039190393453395,11.955971752591886,7.154788807784368,12.0
2.060263125364084,11.88743030380225,6.318215575046357,12.0
2.0794871225548186,11.822033535982431,5.6248336964095955,12.0
2.0970391966403708,11.759509469780454,5.04443931436008,12.0
2.1130766708304765,11.699619816934256,4.5542248522014885,12.0
2.127739907249009,11.64215464126084,4.136743744112025,12.0
2.141154446939894,11.586928038744952,3.778491119352636,12.0
2.153432831917447,11.533774610375213,3.468898539826158,12.0
2.164676164463312,11.482546558870997,3.199611751840068,12.0
2.1749754478825603,11.43311128128238,2.9639648807728394,12.0
2.1844127443822634,11.385349359181385,2.756592930531006,12.0
2.193062179045768,11.339152870192914,2.5731429478467964,12.0
2.2009908136023264,11.294423961153123,2.410056440813787,12.0
2.2082594095034067,11.251073635738836,2.2644038475283392,12.0
2.21492309646585,11.209020719036117,2.1337574347103843,12.0
2.221031959941939,11.16819096895888,2.0160928554002115,12.0
2.226631558786408,11.128516310231149,1.9097122806575333,12.0
2.231763382603068,11.089934171204709,1.813183915738851,12.0
2.236465256786513,11.052386907390462,1.7252940634463607,12.0
2.2407717020632814,11.015821298453854,1.6450088717509783,12.0
2.244714254332123,10.980188107727,1.5714436116704604,12.0
2.2483217497654024,10.945441695146393,1.5038378517510886,12.0
2.251620579432178,10.911539676030204,1.4415352807560895,12.0
2.254634917113508,10.87844261933604,1.3839672176990763,12.0
2.2573869234823056,10.84611378004576,1.3306390646143194,12.0
2.2598969293976965,10.814518861151411,1.2811191212867623,12.0
2.262183600704452,10.783625801401312,1.2350293061455544,12.0
2.264264086621321,10.753404585534074,1.192037423498599,12.0
2.2661541535392664,10.723827074203031,1.1518506914517306,12.0
2.2678683058248468,10.694866851191106,1.114210302514548,12.0
2.2694198950294378,10.666499085850386,1.0788868339788822,12.0
2.27082121873684,10.638700408982915,1.0456763606021768,12.0
